business_id,company_name,business_ref_code,account_manager,business_group,business_unit,account_motion
134453,BERIKLAN LANCAR SEJAHTERA LIMITED,SGBLVG,Eureka,AFT HK Limited,AspireBA,Key
104231,PT Digizie Global Learning,SGDGZG,Eureka,Aspire FT Pte Ltd,AspireBA,Key
105489,PT Ordivo Teknologi Indonesia,SGRDVT,Eureka,Aspire FT Pte Ltd,AspireBA,Key
125930,Rasewa,SGRAT5,Eureka,Aspire FT Pte Ltd,AspireBA,Key
151475,SUCCESS MCMOORE PTE LIMITED,SGSM5V,Eureka,AFT HK Limited,AspireBA,Key
79133,USD - PT DATA SINERGITAMA JAYA,SGUDLX,Eureka,Aspire FT Pte Ltd,AspireBA,Key
140879,21PL Limited,SG2PLL,SG AM - Caroline,AFT HK Limited,AspireBA,Key
80785,2K Consulting Limited,SGCNLB,SG AM - Caroline,AFT HK Limited,AspireBA,Key
83001,ACCTIVA INTERNATIONAL PTE. LTD.,SGANU7,SG AM - Caroline,Aspire FT Pte Ltd,AspireBA,Key
58971,ACHERON PTE. LTD.,SGACPM,SG AM - Caroline,Aspire FT Pte Ltd,AspireBA,Key
151523,ACP LUCENTE VENTURES SPV PTE LTD,SGALJZ,SG AM - Caroline,Aspire FT Pte Ltd,AspireBA,Key
149389,AFG VENTURA TEKNOLOGI PTE. LTD. (USD),SGAFVV,SG AM - Caroline,Aspire FT Pte Ltd,AspireBA,Key
148830,AGC GROQ VI SPV PTE. LTD.,SGGA2R,SG AM - Caroline,Aspire FT Pte Ltd,AspireBA,Key
150682,AGC HIGGSFIELD I SPV PTE LTD,SGAHNK,SG AM - Caroline,Aspire FT Pte Ltd,AspireBA,Key
103207,AJ HACKETT INTERNATIONAL PTE. LTD.,SGQHJA,SG AM - Caroline,Aspire FT Pte Ltd,AspireBA,Key
115400,AKGAMES PTE. LTD.,SGAKPU,SG AM - Caroline,Aspire FT Pte Ltd,AspireBA,Key
102134,ALBA RENEWABLES PTE. LTD.,SGABRD,SG AM - Caroline,Aspire FT Pte Ltd,AspireBA,Key
62907,AMENLI INSURANCE PTE. LTD.,SGAMEN,SG AM - Caroline,Aspire FT Pte Ltd,AspireBA,Key
79727,AMERICAN STUDY EDUCATION JOINT STOCK COMPANY,SGAMES,SG AM - Caroline,Aspire FT Pte Ltd,AspireBA,Key
91424,AMITY GLOBAL INSTITUTE PTE. LTD.,SGAMGD,SG AM - Caroline,Aspire FT Pte Ltd,AspireBA,Key
86112,ANPRI HOLDINGS PTE. LTD.,SGANPH,SG AM - Caroline,Aspire FT Pte Ltd,AspireBA,Key
